Id;Name;Phone;Score
1;Alice;555-1234;85
2;Bob;555-5678;90
3;Charlie;555-8765;78
4;David;555-4321;92
5;Eve;555-0000;88
6;Frank;555-1111;75
7;Grace;555-2222;95
8;Heidi;555-3333;80
9;Ivan;555-4444;83
10;Judy;555-5555;89
11;Mallory;555-6666;77
12;Niaj;555-7777;91
13;Olivia;555-8888;84
14;Peggy;555-9999;76
15;Sybil;555-1010;87
16;Trent;555-2020;82
17;Victor;555-3030;79
18;Wendy;555-4040;94
19;Xavier;555-5050;81
20;Yvonne;555-6060;86
21;Zara;555-7070;93
22;Quinn;555-8080;74
23;Ruth;555-9090;72
24;Sam;555-1212;73
25;Tom;555-1313;71
